id;user_id;user_name;address;phone;delete_flag;sort;sex;city;province;county;default_flag
1;32937;contingency iterat;Trinidad and Tobago Dollar interface Rustic;516-995-0249;49811;23328;93335;Porterville;Small Metal Bacon Legacy;real-time Florida;true
2;71676;Advanced back-end ;Incredible Granite Salad Oklahoma;(818) 393-10;17378;82931;38425;South Clinton;Arkansas;United States Minor Outlying Islands Facilitator;false
3;3899;alliance withdrawa;Micronesia composite Saint Lucia;(973) 209-14;33416;68442;33894;East Oswaldo;Personal Loan Account PNG Money Market Account;Visionary;false
4;13699;South Carolina;harness 24/7;(372) 285-10;67997;29220;78445;Tyrellhaven;reboot;Harbors;false
5;94913;Car orange invoice;Seychelles;243-325-0090;58840;71783;94593;North Rowan;paradigms RAM Avon;card;true
6;96673;scalable turquoise;Creative;1-086-363-43;62914;70981;1060;South Dagmarview;Sweden;Clothing Directives Computers;true
7;3528;experiences cross-;Pizza Computer Ergonomic;1-551-679-45;9818;58339;29425;South Dixiestad;COM Squares high-level;Sleek Soft Cheese National;true
8;75355;zero tolerance;Comoro Franc Bedfordshire;(407) 457-92;53537;14508;50571;Port Selina;Refined;Manor Designer;true
9;54723;Congolese Franc La;Global yellow;1-175-458-04;71233;36299;89751;East Buster;synthesize Borders Cambridgeshire;web-enabled payment PCI;false
10;26144;South Carolina bac;Chips calculate Chair;(935) 293-92;64474;34290;34923;West Genovevamouth;Visionary Borders incentivize;Awesome application;false
